DIM_COUNTRY_CODE,DIM_YEAR_CODE,DIM_GHECAUSE_TITLE,DIM_SEX_CODE,VAL_DTHS_RATE100K_NUMERIC
AFG,2021,Oesophagus Cancer,MLE,2.17
AFG,2021,Breast Cancer,MLE,0.05
AFG,2021,Gallbladder And Biliary Tract Cancer,MLE,0.15
AFG,2021,Mesothelioma,MLE,0.04
AFG,2021,Epilepsy,MLE,2.13
AFG,2021,"Cardiomyopathy, Myocarditis, Endocarditis",MLE,1.68
AFG,2021,Appendicitis,MLE,0.34
AFG,2021,Skin Diseases,MLE,0.26
AFG,2021,Tetanus,MLE,0.91
AFG,2021,Ascariasis,MLE,0.03
AFG,2021,Neonatal Sepsis And Infections,MLE,8.62
AFG,2021,"Trachea, Bronchus, Lung Cancers",MLE,4.1
AFG,2021,Leukaemia,MLE,2.07
AFG,2021,Alcohol Use Disorders,MLE,0.21
AFG,2021,Alzheimer Disease And Other Dementias,MLE,2.52
AFG,2021,Peptic Ulcer Disease,MLE,2.04
AFG,2021,Gallbladder And Biliary Diseases,MLE,0.31
AFG,2021,Congenital Anomalies,MLE,12.55
AFG,2021,Natural Disasters,MLE,1.04
AGO,2021,Encephalitis,MLE,0.55
AGO,2021,Acute Hepatitis C,MLE,0.08
AGO,2021,Oesophagus Cancer,MLE,3.16
AGO,2021,Gallbladder And Biliary Tract Cancer,MLE,0.07
AGO,2021,Interpersonal Violence,MLE,14.34
AGO,2021,Gonorrhoea,MLE,0.01
AGO,2021,Tetanus,MLE,1.02
AGO,2021,Acute Hepatitis A,MLE,0.06
AGO,2021,Schistosomiasis,MLE,1.1
AGO,2021,Ascariasis,MLE,0.17
AGO,2021,Neonatal Sepsis And Infections,MLE,7.41
AGO,2021,Breast Cancer,MLE,0.19
AGO,2021,Mesothelioma,MLE,0.02
AGO,2021,Epilepsy,MLE,5.07
AGO,2021,"Cardiomyopathy, Myocarditis, Endocarditis",MLE,7.33
AGO,2021,Appendicitis,MLE,0.41
AGO,2021,Gallbladder And Biliary Diseases,MLE,0.8
AGO,2021,Skin Diseases,MLE,1.89
AGO,2021,Measles,MLE,1.46
AGO,2021,Pancreas Cancer,MLE,0.86
AGO,2021,Melanoma And Other Skin Cancers,MLE,0.91
AGO,2021,Brain And Nervous System Cancers,MLE,1.38
AGO,2021,Thyroid Cancer,MLE,0.13
AGO,2021,"Lymphomas, Multiple Myeloma",MLE,2.3
AGO,2021,Sickle Cell Disorders And Trait,MLE,1.12
AGO,2021,Hypertensive Heart Disease,MLE,10.03
AGO,2021,Paralytic Ileus And Intestinal Obstruction,MLE,3.06
AGO,2021,Drowning,MLE,11.68
AGO,2021,Whooping Cough,MLE,9.28
AGO,2021,Upper Respiratory Infections,MLE,0.62
AGO,2021,Colon And Rectum Cancers,MLE,2.19
AGO,2021,Prostate Cancer,MLE,9.03
AGO,2021,Asthma,MLE,3.53
AGO,2021,Pancreatitis,MLE,0.86
AGO,2021,Falls,MLE,4.05
AGO,2021,Acute Hepatitis B,MLE,0.91
AGO,2021,Yellow Fever,MLE,1.68
AGO,2021,Protein-Energy Malnutrition,MLE,10.28
AGO,2021,Stomach Cancer,MLE,1.65
AGO,2021,Chronic Obstructive Pulmonary Disease,MLE,9.14
AGO,2021,Gastritis And Duodenitis,MLE,0.79
AGO,2021,Inflammatory Bowel Disease,MLE,0.19
AGO,2021,Exposure To Mechanical Forces,MLE,1.57
AGO,2021,Self-Harm,MLE,12.47
AGO,2021,Meningitis,MLE,13.09
AGO,2021,Acute Hepatitis E,MLE,0.02
AGO,2021,Leishmaniasis,MLE,0.64
AGO,2021,Echinococcosis,MLE,0.2
AGO,2021,Mouth And Oropharynx Cancers,MLE,2.2
AGO,2021,Testicular Cancer,MLE,0.14
AGO,2021,Kidney Cancer,MLE,1.08
AGO,2021,Drug Use Disorders,MLE,0.54
AGO,2021,Parkinson Disease,MLE,1.15
AGO,2021,Multiple Sclerosis,MLE,0.01
AGO,2021,Syphilis,MLE,5.71
AGO,2021,Diphtheria,MLE,0.39
AGO,2021,African Trypanosomiasis,MLE,0.22
AGO,2021,Cysticercosis,MLE,1.25
AGO,2021,Rabies,MLE,0.32
AGO,2021,Otitis Media,MLE,0.01
AGO,2021,"Trachea, Bronchus, Lung Cancers",MLE,1.52
AGO,2021,Leukaemia,MLE,1.22
AGO,2021,Alcohol Use Disorders,MLE,1.67
AGO,2021,Alzheimer Disease And Other Dementias,MLE,3.4
AGO,2021,Peptic Ulcer Disease,MLE,2.86
AGO,2021,Congenital Anomalies,MLE,11.04
AGO,2021,Natural Disasters,MLE,0.06
AGO,2021,Liver Cancer,MLE,3.44
AGO,2021,Bladder Cancer,MLE,0.71
AGO,2021,Larynx Cancer,MLE,1.0
AGO,2021,Thalassaemias,MLE,0.09
AGO,2021,Rheumatic Heart Disease,MLE,1.55
AGO,2021,Urolithiasis,MLE,0.05
AGO,2021,Sudden Infant Death Syndrome,MLE,0.98
AGO,2021,Poisonings,MLE,1.2
AGO,2021,"Fire, Heat And Hot Substances",MLE,3.48
AGO,2021,Collective Violence And Legal Intervention,MLE,0.69
ALB,2021,Upper Respiratory Infections,MLE,0.07
ALB,2021,Pancreas Cancer,MLE,12.29
ALB,2021,"Lymphomas, Multiple Myeloma",MLE,4.11
ALB,2021,Hypertensive Heart Disease,MLE,12.39
ALB,2021,Asthma,MLE,5.26
ALB,2021,Paralytic Ileus And Intestinal Obstruction,MLE,0.83
ALB,2021,Pancreatitis,MLE,0.87
ALB,2021,Falls,MLE,3.5
ALB,2021,Diarrhoeal Diseases,MLE,0.35
ALB,2021,Colon And Rectum Cancers,MLE,10.11
ALB,2021,Prostate Cancer,MLE,18.16
ALB,2021,Rheumatoid Arthritis,MLE,0.17
ALB,2021,Road Injury,MLE,16.08
ALB,2021,Interpersonal Violence,MLE,4.9
ALB,2021,Encephalitis,MLE,0.52
ALB,2021,Oesophagus Cancer,MLE,3.33
ALB,2021,Breast Cancer,MLE,0.56
ALB,2021,Gallbladder And Biliary Tract Cancer,MLE,0.96
ALB,2021,Mesothelioma,MLE,0.92
ALB,2021,Epilepsy,MLE,1.61
ALB,2021,"Cardiomyopathy, Myocarditis, Endocarditis",MLE,12.46
ALB,2021,Appendicitis,MLE,0.09
ALB,2021,Skin Diseases,MLE,0.19
ALB,2021,Tetanus,MLE,0.1
ALB,2021,Preterm Birth Complications,MLE,3.87
ALB,2021,Neonatal Sepsis And Infections,MLE,0.32
ALB,2021,Leukaemia,MLE,7.06
ALB,2021,Alcohol Use Disorders,MLE,0.39
ALB,2021,Peptic Ulcer Disease,MLE,1.34
ALB,2021,Gallbladder And Biliary Diseases,MLE,0.49
ALB,2021,Congenital Anomalies,MLE,3.3
ALB,2021,Syphilis,MLE,0.03
ALB,2021,Lower Respiratory Infections,MLE,14.15
ALB,2021,Liver Cancer,MLE,6.85
ALB,2021,Bladder Cancer,MLE,10.62
ALB,2021,Larynx Cancer,MLE,5.67
ALB,2021,Thalassaemias,MLE,0.03
ALB,2021,Rheumatic Heart Disease,MLE,1.2
ALB,2021,Urolithiasis,MLE,0.09
ALB,2021,Sudden Infant Death Syndrome,MLE,0.06
ALB,2021,"Fire, Heat And Hot Substances",MLE,0.39
ALB,2021,Tuberculosis,MLE,0.47
ALB,2021,Hiv/Aids,MLE,0.92
ALB,2021,Acute Hepatitis B,MLE,0.03
ALB,2021,Protein-Energy Malnutrition,MLE,0.42
ALB,2021,Gastritis And Duodenitis,MLE,0.08
ALB,2021,Inflammatory Bowel Disease,MLE,0.63
ALB,2021,Kidney Diseases,MLE,13.05
ALB,2021,Poisonings,MLE,0.23
ALB,2021,Exposure To Mechanical Forces,MLE,2.19
ALB,2021,Collective Violence And Legal Intervention,MLE,0.09
ALB,2021,Meningitis,MLE,0.22
ALB,2021,Leishmaniasis,MLE,0.07
ALB,2021,Mouth And Oropharynx Cancers,MLE,5.31
ALB,2021,Testicular Cancer,MLE,0.53
ALB,2021,Kidney Cancer,MLE,5.31
ALB,2021,Diabetes Mellitus,MLE,5.92
ALB,2021,Multiple Sclerosis,MLE,0.89
ALB,2021,Self-Harm,MLE,3.19
ALB,2021,Measles,MLE,0.09
ALB,2021,Birth Asphyxia And Birth Trauma,MLE,1.35
ALB,2021,Melanoma And Other Skin Cancers,MLE,3.24
ALB,2021,Brain And Nervous System Cancers,MLE,9.91
ALB,2021,Thyroid Cancer,MLE,0.39
ALB,2021,Drug Use Disorders,MLE,0.78
ALB,2021,Parkinson Disease,MLE,8.55
ALB,2021,Cirrhosis Of The Liver,MLE,8.1
ALB,2021,Drowning,MLE,1.2
ARE,2021,Whooping Cough,MLE,0.02
ARE,2021,Upper Respiratory Infections,MLE,0.03
ARE,2021,Protein-Energy Malnutrition,MLE,0.05
ARE,2021,Stomach Cancer,MLE,1.1
ARE,2021,Chronic Obstructive Pulmonary Disease,MLE,5.35
ARE,2021,Inflammatory Bowel Disease,MLE,0.06
ARE,2021,Kidney Diseases,MLE,5.73
ARE,2021,Exposure To Mechanical Forces,MLE,1.88
ARE,2021,Self-Harm,MLE,2.46
ARE,2021,Liver Cancer,MLE,0.66
ARE,2021,Bladder Cancer,MLE,0.66
ARE,2021,Larynx Cancer,MLE,0.26
ARE,2021,Thalassaemias,MLE,0.03
ARE,2021,Rheumatic Heart Disease,MLE,0.69
ARE,2021,Sudden Infant Death Syndrome,MLE,0.07
ARE,2021,Poisonings,MLE,0.21
ARE,2021,"Fire, Heat And Hot Substances",MLE,0.62
ARE,2021,Collective Violence And Legal Intervention,MLE,0.09
ARE,2021,Meningitis,MLE,0.45
ARE,2021,Acute Hepatitis E,MLE,0.02
ARE,2021,"Trachea, Bronchus, Lung Cancers",MLE,1.99
ARE,2021,Leukaemia,MLE,1.25
ARE,2021,Alcohol Use Disorders,MLE,0.18
ARE,2021,Alzheimer Disease And Other Dementias,MLE,2.67
ARE,2021,Peptic Ulcer Disease,MLE,0.32
ARE,2021,Congenital Anomalies,MLE,2.71
ARE,2021,Hiv/Aids,MLE,0.28
ARE,2021,Acute Hepatitis B,MLE,0.31
ARE,2021,Neonatal Sepsis And Infections,MLE,0.06
ARE,2021,Breast Cancer,MLE,0.03
ARE,2021,Mesothelioma,MLE,0.06
ARE,2021,Epilepsy,MLE,0.44
ARE,2021,"Cardiomyopathy, Myocarditis, Endocarditis",MLE,2.18
ARE,2021,Appendicitis,MLE,0.03
ARE,2021,Gallbladder And Biliary Diseases,MLE,0.14
ARE,2021,Skin Diseases,MLE,0.29
ARE,2021,Tuberculosis,MLE,0.23
ARE,2021,Lower Respiratory Infections,MLE,3.8
ARE,2021,Oesophagus Cancer,MLE,0.28
ARE,2021,Gallbladder And Biliary Tract Cancer,MLE,0.07
ARE,2021,Rheumatoid Arthritis,MLE,0.03
ARE,2021,Road Injury,MLE,7.06
ARE,2021,Interpersonal Violence,MLE,0.94
ARE,2021,Syphilis,MLE,0.11
ARE,2021,Preterm Birth Complications,MLE,1.25
ARE,2021,Colon And Rectum Cancers,MLE,1.78
ARE,2021,Prostate Cancer,MLE,0.66
ARE,2021,Asthma,MLE,1.88
ARE,2021,Pancreatitis,MLE,0.34
ARE,2021,Falls,MLE,3.07
ARE,2021,Tetanus,MLE,0.06
ARE,2021,Acute Hepatitis A,MLE,0.07
ARE,2021,Covid-19,MLE,15.48
ARE,2021,Birth Asphyxia And Birth Trauma,MLE,0.33
ARE,2021,Pancreas Cancer,MLE,0.62
ARE,2021,Melanoma And Other Skin Cancers,MLE,0.22
ARE,2021,Brain And Nervous System Cancers,MLE,0.86
ARE,2021,Thyroid Cancer,MLE,0.16
ARE,2021,"Lymphomas, Multiple Myeloma",MLE,1.0
ARE,2021,Sickle Cell Disorders And Trait,MLE,0.04
ARE,2021,Hypertensive Heart Disease,MLE,4.95
ARE,2021,Paralytic Ileus And Intestinal Obstruction,MLE,0.25
ARE,2021,Drowning,MLE,0.9
ARE,2021,Diarrhoeal Diseases,MLE,0.26
ARE,2021,Encephalitis,MLE,0.04
ARE,2021,Acute Hepatitis C,MLE,0.02
ARE,2021,Mouth And Oropharynx Cancers,MLE,0.58
ARE,2021,Testicular Cancer,MLE,0.04
ARE,2021,Kidney Cancer,MLE,0.32
ARE,2021,Diabetes Mellitus,MLE,8.3
ARE,2021,Drug Use Disorders,MLE,0.77
ARE,2021,Parkinson Disease,MLE,0.47
ARE,2021,Multiple Sclerosis,MLE,0.04
ARE,2021,Stroke,MLE,12.4
ARE,2021,Cirrhosis Of The Liver,MLE,3.61
ARG,2021,Meningitis,MLE,0.7
ARG,2021,Acute Hepatitis E,MLE,0.01
ARG,2021,Leishmaniasis,MLE,0.01
ARG,2021,Echinococcosis,MLE,0.78
ARG,2021,Leukaemia,MLE,5.12
ARG,2021,Alcohol Use Disorders,MLE,1.19
ARG,2021,Alzheimer Disease And Other Dementias,MLE,5.81
ARG,2021,Peptic Ulcer Disease,MLE,1.02
ARG,2021,Back And Neck Pain,MLE,0.06
ARG,2021,Congenital Anomalies,MLE,4.64
ARG,2021,Oral Conditions,MLE,0.04
ARG,2021,"Fire, Heat And Hot Substances",MLE,0.7
ARG,2021,Chagas Disease,MLE,0.8
ARG,2021,Leprosy,MLE,0.02
ARG,2021,Upper Respiratory Infections,MLE,0.02
ARG,2021,Vitamin A Deficiency,MLE,0.01
ARG,2021,Liver Cancer,MLE,5.49
ARG,2021,Bladder Cancer,MLE,5.54
ARG,2021,Larynx Cancer,MLE,2.88
ARG,2021,Thalassaemias,MLE,0.01
ARG,2021,Rheumatic Heart Disease,MLE,0.28
ARG,2021,Gastritis And Duodenitis,MLE,0.12
ARG,2021,Osteoarthritis,MLE,0.17
ARG,2021,Sudden Infant Death Syndrome,MLE,0.35
ARG,2021,Poisonings,MLE,0.38
ARG,2021,Collective Violence And Legal Intervention,MLE,0.02
ARG,2021,Diarrhoeal Diseases,MLE,0.86
ARG,2021,Acute Hepatitis C,MLE,0.12
ARG,2021,Protein-Energy Malnutrition,MLE,1.91
ARG,2021,Stomach Cancer,MLE,9.15
ARG,2021,Diabetes Mellitus,MLE,18.25
ARG,2021,Multiple Sclerosis,MLE,0.13
ARG,2021,Inflammatory Bowel Disease,MLE,0.11
ARG,2021,Exposure To Mechanical Forces,MLE,0.6
ARG,2021,Self-Harm,MLE,12.58
ARG,2021,Encephalitis,MLE,0.04
ARG,2021,Birth Asphyxia And Birth Trauma,MLE,0.63
ARG,2021,Mouth And Oropharynx Cancers,MLE,3.27
ARG,2021,Melanoma And Other Skin Cancers,MLE,2.51
ARG,2021,Testicular Cancer,MLE,1.15
ARG,2021,Kidney Cancer,MLE,7.15
ARG,2021,Brain And Nervous System Cancers,MLE,3.99
ARG,2021,Drug Use Disorders,MLE,0.09
ARG,2021,Parkinson Disease,MLE,2.75
ARG,2021,Cirrhosis Of The Liver,MLE,12.54
ARG,2021,Acute Hepatitis A,MLE,0.39
ARG,2021,Iron-Deficiency Anaemia,MLE,1.41
ARG,2021,Pancreas Cancer,MLE,10.05
ARG,2021,Thyroid Cancer,MLE,0.45
ARG,2021,"Lymphomas, Multiple Myeloma",MLE,5.59
ARG,2021,Schizophrenia,MLE,0.08
ARG,2021,Hypertensive Heart Disease,MLE,12.4
ARG,2021,Paralytic Ileus And Intestinal Obstruction,MLE,3.02
ARG,2021,Drowning,MLE,1.16
ARG,2021,Syphilis,MLE,0.06
ARG,2021,Rabies,MLE,0.11
ARG,2021,Preterm Birth Complications,MLE,3.71
ARG,2021,Idiopathic Intellectual Disability,MLE,0.03
ARG,2021,Asthma,MLE,0.6
ARG,2021,Pancreatitis,MLE,2.0
ARG,2021,Benign Prostatic Hyperplasia,MLE,0.28
ARG,2021,Falls,MLE,1.72
ARG,2021,Tuberculosis,MLE,1.96
ARG,2021,Oesophagus Cancer,MLE,5.62
ARG,2021,Gallbladder And Biliary Tract Cancer,MLE,2.83
ARG,2021,Mesothelioma,MLE,0.53
ARG,2021,Rheumatoid Arthritis,MLE,0.14
ARG,2021,Road Injury,MLE,14.05
ARG,2021,Interpersonal Violence,MLE,10.06
ARG,2021,Hiv/Aids,MLE,3.81
ARG,2021,Acute Hepatitis B,MLE,0.11
ARG,2021,Yellow Fever,MLE,1.4
ARG,2021,Neonatal Sepsis And Infections,MLE,0.75
ARG,2021,Breast Cancer,MLE,0.46
ARG,2021,Epilepsy,MLE,0.9
ARG,2021,"Cardiomyopathy, Myocarditis, Endocarditis",MLE,15.03
ARG,2021,Appendicitis,MLE,0.2
ARG,2021,Gallbladder And Biliary Diseases,MLE,1.75
ARG,2021,Skin Diseases,MLE,5.14
ARM,2021,Tuberculosis,MLE,3.2
ARM,2021,Oesophagus Cancer,MLE,2.18
ARM,2021,Rheumatoid Arthritis,MLE,0.08
ARM,2021,Interpersonal Violence,MLE,7.16
ARM,2021,Rabies,MLE,0.01
ARM,2021,Otitis Media,MLE,0.09
ARM,2021,Preterm Birth Complications,MLE,3.38
ARM,2021,Iron-Deficiency Anaemia,MLE,0.1
ARM,2021,Pancreas Cancer,MLE,17.72
ARM,2021,"Lymphomas, Multiple Myeloma",MLE,3.93
ARM,2021,Asthma,MLE,0.09
ARM,2021,Paralytic Ileus And Intestinal Obstruction,MLE,1.68
ARM,2021,Pancreatitis,MLE,0.98
ARM,2021,Benign Prostatic Hyperplasia,MLE,0.29
ARM,2021,Falls,MLE,5.14
ARM,2021,Encephalitis,MLE,0.1
ARM,2021,Acute Hepatitis A,MLE,0.02
ARM,2021,Birth Asphyxia And Birth Trauma,MLE,1.28
ARM,2021,Melanoma And Other Skin Cancers,MLE,1.83
ARM,2021,Brain And Nervous System Cancers,MLE,8.79
ARM,2021,Thyroid Cancer,MLE,1.36
ARM,2021,Drug Use Disorders,MLE,0.33
ARM,2021,Parkinson Disease,MLE,0.09
ARM,2021,Drowning,MLE,2.01
ARM,2021,Diarrhoeal Diseases,MLE,0.55
ARM,2021,Acute Hepatitis C,MLE,1.81
ARM,2021,Mouth And Oropharynx Cancers,MLE,3.78
ARM,2021,Testicular Cancer,MLE,0.67
ARM,2021,Kidney Cancer,MLE,6.23
ARM,2021,Diabetes Mellitus,MLE,8.94
ARM,2021,Multiple Sclerosis,MLE,0.33
ARM,2021,Upper Respiratory Infections,MLE,0.03
ARM,2021,Protein-Energy Malnutrition,MLE,0.02
ARM,2021,Gastritis And Duodenitis,MLE,1.14
ARM,2021,Inflammatory Bowel Disease,MLE,0.27
ARM,2021,Kidney Diseases,MLE,10.55
ARM,2021,Poisonings,MLE,1.13
ARM,2021,Exposure To Mechanical Forces,MLE,2.86
ARM,2021,Self-Harm,MLE,4.17
ARM,2021,Collective Violence And Legal Intervention,MLE,0.55
ARM,2021,Measles,MLE,0.02
ARM,2021,Bladder Cancer,MLE,12.54
ARM,2021,Larynx Cancer,MLE,6.03
ARM,2021,Thalassaemias,MLE,0.01
ARM,2021,Rheumatic Heart Disease,MLE,0.25
ARM,2021,Back And Neck Pain,MLE,0.09
ARM,2021,Sudden Infant Death Syndrome,MLE,0.05
ARM,2021,"Fire, Heat And Hot Substances",MLE,1.05
ARM,2021,Meningitis,MLE,0.92
ARM,2021,Leishmaniasis,MLE,0.01
ARM,2021,Leukaemia,MLE,3.63
ARM,2021,Alcohol Use Disorders,MLE,0.07
ARM,2021,Alzheimer Disease And Other Dementias,MLE,1.14
ARM,2021,Peptic Ulcer Disease,MLE,12.26
ARM,2021,Gallbladder And Biliary Diseases,MLE,1.26
ARM,2021,Congenital Anomalies,MLE,5.2
ARM,2021,Hiv/Aids,MLE,6.23
ARM,2021,Acute Hepatitis B,MLE,0.23
ARM,2021,Neonatal Sepsis And Infections,MLE,0.45
ARM,2021,Breast Cancer,MLE,0.69
ARM,2021,Gallbladder And Biliary Tract Cancer,MLE,1.88
ARM,2021,Mesothelioma,MLE,0.72
ARM,2021,Epilepsy,MLE,0.12
ARM,2021,"Cardiomyopathy, Myocarditis, Endocarditis",MLE,8.27
ARM,2021,Skin Diseases,MLE,1.09
ATG,2021,Iron-Deficiency Anaemia,MLE,5.51
ATG,2021,Pancreas Cancer,MLE,3.5
ATG,2021,"Lymphomas, Multiple Myeloma",MLE,6.64
ATG,2021,Schizophrenia,MLE,0.96
ATG,2021,Hypertensive Heart Disease,MLE,3.44
ATG,2021,Paralytic Ileus And Intestinal Obstruction,MLE,0.98
ATG,2021,Benign Prostatic Hyperplasia,MLE,3.75
ATG,2021,Asthma,MLE,2.14
ATG,2021,Road Injury,MLE,13.22
ATG,2021,Interpersonal Violence,MLE,8.08
ATG,2021,Acute Hepatitis A,MLE,0.02
ATG,2021,Oesophagus Cancer,MLE,3.25
ATG,2021,Gallbladder And Biliary Tract Cancer,MLE,3.48
ATG,2021,Epilepsy,MLE,2.91
ATG,2021,"Cardiomyopathy, Myocarditis, Endocarditis",MLE,4.6
ATG,2021,Appendicitis,MLE,0.02
ATG,2021,Skin Diseases,MLE,3.14
ATG,2021,Preterm Birth Complications,MLE,2.87
ATG,2021,Neonatal Sepsis And Infections,MLE,1.27
ATG,2021,"Trachea, Bronchus, Lung Cancers",MLE,7.05
ATG,2021,Leukaemia,MLE,0.07
ATG,2021,Alcohol Use Disorders,MLE,1.62
ATG,2021,Alzheimer Disease And Other Dementias,MLE,8.4
ATG,2021,Peptic Ulcer Disease,MLE,2.87
ATG,2021,Gallbladder And Biliary Diseases,MLE,1.68
ATG,2021,Congenital Anomalies,MLE,4.6
ATG,2021,Lower Respiratory Infections,MLE,7.9
ATG,2021,Liver Cancer,MLE,3.5
ATG,2021,Bladder Cancer,MLE,3.37
ATG,2021,Rheumatic Heart Disease,MLE,0.86
ATG,2021,"Fire, Heat And Hot Substances",MLE,1.39
ATG,2021,Tuberculosis,MLE,0.02
ATG,2021,Hiv/Aids,MLE,2.57
ATG,2021,Stomach Cancer,MLE,0.46
ATG,2021,Larynx Cancer,MLE,1.21
ATG,2021,Chronic Obstructive Pulmonary Disease,MLE,13.09
ATG,2021,Gastritis And Duodenitis,MLE,0.8
ATG,2021,Inflammatory Bowel Disease,MLE,1.23
ATG,2021,Poisonings,MLE,1.09
ATG,2021,Exposure To Mechanical Forces,MLE,2.28
ATG,2021,Mouth And Oropharynx Cancers,MLE,7.01
ATG,2021,Kidney Cancer,MLE,1.37
ATG,2021,Multiple Sclerosis,MLE,1.05
ATG,2021,Self-Harm,MLE,1.64
ATG,2021,Birth Asphyxia And Birth Trauma,MLE,0.75
ATG,2021,Melanoma And Other Skin Cancers,MLE,1.34
ATG,2021,Brain And Nervous System Cancers,MLE,2.87
ATG,2021,Sickle Cell Disorders And Trait,MLE,1.32
ATG,2021,Cirrhosis Of The Liver,MLE,6.62
ATG,2021,Drowning,MLE,0.91
AUS,2021,Encephalitis,MLE,0.01
AUS,2021,Oesophagus Cancer,MLE,8.6
AUS,2021,Gallbladder And Biliary Tract Cancer,MLE,1.2
AUS,2021,Mesothelioma,MLE,4.85
AUS,2021,Rheumatoid Arthritis,MLE,0.47
AUS,2021,Road Injury,MLE,6.83
AUS,2021,Interpersonal Violence,MLE,1.19
AUS,2021,Diarrhoeal Diseases,MLE,0.97
AUS,2021,Acute Hepatitis C,MLE,0.52
AUS,2021,Idiopathic Intellectual Disability,MLE,0.06
AUS,2021,Asthma,MLE,0.89
AUS,2021,Pancreatitis,MLE,1.51
AUS,2021,Benign Prostatic Hyperplasia,MLE,0.6
AUS,2021,Gout,MLE,0.1
AUS,2021,Falls,MLE,15.25
AUS,2021,Upper Respiratory Infections,MLE,0.04
AUS,2021,Iron-Deficiency Anaemia,MLE,0.52
AUS,2021,Pancreas Cancer,MLE,14.28
AUS,2021,Thyroid Cancer,MLE,0.69
AUS,2021,"Lymphomas, Multiple Myeloma",MLE,16.04
AUS,2021,Schizophrenia,MLE,0.24
AUS,2021,Hypertensive Heart Disease,MLE,6.1
AUS,2021,Paralytic Ileus And Intestinal Obstruction,MLE,2.9
AUS,2021,Drowning,MLE,1.24
AUS,2021,Meningitis,MLE,0.14
AUS,2021,Acute Hepatitis E,MLE,0.01
AUS,2021,Birth Asphyxia And Birth Trauma,MLE,0.58
AUS,2021,Melanoma And Other Skin Cancers,MLE,12.87
AUS,2021,Testicular Cancer,MLE,0.3
AUS,2021,Kidney Cancer,MLE,5.86
AUS,2021,Brain And Nervous System Cancers,MLE,8.39
AUS,2021,Drug Use Disorders,MLE,6.75
AUS,2021,Parkinson Disease,MLE,11.83
AUS,2021,Cirrhosis Of The Liver,MLE,9.5
AUS,2021,Hiv/Aids,MLE,0.27
AUS,2021,Acute Hepatitis B,MLE,0.17
AUS,2021,Protein-Energy Malnutrition,MLE,0.48
AUS,2021,Mouth And Oropharynx Cancers,MLE,6.29
AUS,2021,Stomach Cancer,MLE,6.66
